day_of_week,hour,weather_severity,traffic_congestion,demand_Ambreiaj,demand_Placute_Frana,demand_Alternator,demand_Filtru_Ulei,demand_Amortizor
5,12,0.39,8.74,3,6,0,7,1
5,13,0.27,9.84,4,5,2,9,3
5,14,0.83,7.68,2,7,0,11,3
5,15,0.36,4.18,3,5,0,3,1
5,16,0.28,4.21,3,3,0,7,3
5,17,0.54,7.38,2,6,1,9,2
5,18,0.14,2.39,1,3,1,2,2
5,19,0.8,1.1,1,3,0,2,1
5,20,0.07,3.55,3,5,0,7,2
5,21,0.99,2.87,0,0,0,0,0
5,22,0.77,2.96,3,6,1,4,3
5,23,0.2,2.34,2,5,0,5,1
6,0,0.01,0.42,3,5,0,7,2
6,1,0.82,0.18,0,6,0,8,3
6,2,0.71,9.88,0,11,2,16,3
6,3,0.73,4.28,5,10,0,7,2
6,4,0.77,3.84,2,7,1,9,3
6,5,0.07,6.8,0,8,1,11,5
6,6,0.36,2.18,5,6,1,8,4
6,7,0.12,9.5,5,6,2,8,4
6,8,0.86,7.86,0,0,0,2,0
6,9,0.62,0.89,0,8,0,8,3
6,10,0.33,4.18,5,7,1,9,4
6,11,0.06,8.79,0,9,1,7,2
6,12,0.31,9.45,4,6,0,10,3
6,13,0.33,4.67,3,3,0,8,1
6,14,0.73,6.13,1,3,0,7,2
6,15,0.64,1.67,1,3,1,7,2
6,16,0.89,9.91,0,0,0,0,0
6,17,0.47,2.32,1,5,0,5,1
6,18,0.12,9.43,4,9,1,4,4
6,19,0.71,6.5,2,6,1,5,3
6,20,0.76,6.08,3,3,1,5,2
6,21,0.56,5.13,1,7,0,5,1
6,22,0.77,2.31,0,6,1,7,3
6,23,0.49,1.77,0,3,0,5,2
0,0,0.52,2.2,14,26,7,34,12
0,1,0.43,1.86,14,27,0,36,12
0,2,0.03,7.8,21,41,10,51,19
0,3,0.11,3.5,18,34,9,45,15
0,4,0.03,0.58,16,30,8,41,13
0,5,0.64,9.69,25,49,12,60,22
0,6,0.31,8.84,24,47,12,59,21
0,7,0.51,9.28,25,48,12,60,22
0,8,0.91,9.95,3,5,0,7,0
0,9,0.25,1.74,0,31,8,41,13
0,10,0.41,3.96,17,33,8,43,15
0,11,0.76,7.58,20,39,10,48,18
0,12,0.23,6.96,18,35,9,43,16
0,13,0.08,1.54,0,23,6,29,10
0,14,0.29,8.16,0,34,9,40,16
0,15,0.16,2.24,11,20,0,25,10
0,16,0.93,2.24,0,0,0,2,0
0,17,0.81,5.37,13,25,6,29,12
0,18,0.63,5.93,13,25,6,29,12
0,19,0.87,5.8,1,3,0,1,0
0,20,0.8,0.91,9,16,4,21,8
0,21,0.19,8.77,0,33,0,39,16
0,22,0.89,2.66,0,3,0,3,0
0,23,0.54,1.3,12,22,6,29,10
1,0,0.81,8.89,20,39,0,47,18
1,1,0.9,9.56,2,0,1,1,1
1,2,0.32,8.62,22,43,11,53,20
1,3,0.11,8.1,22,43,0,54,20
1,4,0.23,6.55,22,42,0,53,19
1,5,0.43,5.51,21,40,10,52,18
1,6,0.82,0.87,16,31,8,43,13
1,7,0.86,4.08,0,5,1,1,2
1,8,0.01,3.73,19,36,9,47,16
1,9,0.51,2.6,17,32,8,43,14
1,10,0.42,7.23,21,40,10,50,18
1,11,0.22,4.96,17,33,8,43,15
1,12,0.12,0.81,12,23,6,31,10
1,13,0.34,2.2,13,24,6,31,11
1,14,0.94,6.83,0,2,0,2,1
1,15,0.32,0.76,0,17,0,23,8
1,16,0.52,8.51,17,32,8,36,15
1,17,0.7,4.95,13,24,0,28,12
1,18,0.36,4.81,12,23,6,27,11
1,19,0.97,5.92,1,3,0,1,1
1,20,0.96,8.25,2,2,0,0,1
1,21,0.25,3.48,12,23,6,28,11
1,22,0.5,6.78,0,31,8,37,15
1,23,0.3,5.66,16,31,0,38,14
2,0,0.28,2.67,14,27,7,35,12
2,1,0.04,8.79,21,41,10,50,19
2,2,0.61,7.97,21,41,10,51,19
2,3,0.5,6.58,21,40,10,51,18
2,4,0.05,8.51,23,45,11,57,21
2,5,0.28,8.67,0,47,12,58,21
2,6,0.91,7.08,2,5,0,5,2
2,7,0.24,8.37,0,46,12,58,21
2,8,0.14,6.97,0,42,0,54,19
2,9,0.49,6.8,0,41,10,52,18
2,10,0.99,6.19,1,0,0,3,1
2,11,0.24,7.53,20,39,0,48,18
2,12,0.67,1.59,13,25,6,33,11
2,13,0.76,8.81,19,37,9,44,18
2,14,0.24,8.72,18,35,9,41,17
2,15,0.73,0.29,0,16,0,22,8
2,16,0.37,8.26,16,31,8,36,15
2,17,0.63,1.29,9,16,4,20,8
2,18,0.63,3.35,11,20,5,24,10
2,19,0.54,7.44,15,29,7,33,14
2,20,0.09,1.61,10,18,0,22,9
2,21,0.84,8.18,0,32,0,37,16
2,22,0.32,8.32,0,34,9,40,16
2,23,0.19,5.07,0,30,8,37,14
3,0,0.04,0.06,12,22,6,30,10
3,1,0.59,2.87,0,29,7,38,13
3,2,0.68,6.17,20,38,0,48,17
3,3,0.02,9.81,24,47,12,58,21
3,4,0.51,6.32,21,41,10,53,18
3,5,0.23,2.6,18,34,9,46,15
3,6,0.65,6.34,0,42,11,54,19
3,7,0.17,5.4,21,40,10,52,18
3,8,0.69,7.8,23,44,11,55,20
3,9,0.39,1.07,0,29,7,40,13
3,10,0.94,7.61,0,2,1,3,0
3,11,0.14,5.41,18,34,9,43,16
3,12,0.34,9.63,21,41,0,49,19
3,13,0.11,3.42,14,26,7,33,12
3,14,0.92,6.33,1,0,0,5,0
3,15,0.88,9.32,1,5,0,3,1
3,16,0.26,1.03,9,17,0,21,8
3,17,0.66,9.37,17,33,8,37,16
3,18,0.82,6.88,14,27,7,31,13
3,19,0.56,0.68,8,15,4,19,7
3,20,0.53,3.01,11,21,5,25,10
3,21,0.24,7.08,16,30,8,35,14
3,22,0.09,0.67,10,19,0,25,9
3,23,0.9,5.82,1,3,0,4,0
4,0,0.9,3.46,0,3,1,0,0
4,1,0.63,6.21,0,36,0,45,16
4,2,0.34,0.46,14,26,7,36,11
4,3,0.35,8.72,23,45,11,55,20
4,4,0.73,9.73,25,48,12,59,22
4,5,0.9,9.69,3,6,0,5,1
4,6,0.89,7.5,2,0,1,7,3
4,7,0.78,1.3,17,32,8,44,14
4,8,0.64,7.58,0,44,0,55,20
4,9,0.08,0.25,15,28,7,38,12
4,10,0.16,0.22,14,26,7,36,11
4,11,0.9,3.24,0,1,1,3,0
4,12,0.61,4.89,0,31,8,39,14
4,13,0.01,7.7,18,35,0,42,16
4,14,0.1,6.83,16,31,8,37,15
4,15,0.66,4.46,13,25,6,30,12
4,16,0.01,2.74,11,20,5,25,10
4,17,0.16,9.97,0,34,9,38,17
4,18,0.55,4.26,12,22,0,26,11
4,19,0.69,4.51,12,23,0,27,11
4,20,0.65,1.64,0,18,5,22,9
4,21,0.22,7.95,17,32,0,37,15
4,22,0.71,6.94,0,31,0,37,15
4,23,0.24,2.21,0,24,6,31,11
5,0,0.33,0.82,0,2,1,7,2
5,1,0.75,6.8,2,5,2,8,3
5,2,0.65,6.55,5,5,2,5,4
5,3,0.85,2.73,3,6,1,8,3
5,4,0.66,9.51,7,7,2,10,6
5,5,0.57,1.51,2,3,2,12,2
5,6,0.09,4.32,2,5,1,7,3
5,7,0.37,9.44,5,6,1,17,5
5,8,0.27,4.2,3,10,2,14,3
5,9,0.24,6.39,0,10,2,7,2
5,10,0.97,3.98,0,0,0,1,0
5,11,0.39,2.74,2,4,0,11,3
5,12,0.89,9.84,0,0,0,0,0
5,13,0.63,4.09,3,4,0,7,3
5,14,0.79,8.94,0,5,1,9,2
5,15,0.5,2.3,0,2,0,4,2
5,16,0.58,2.13,0,2,1,5,1
5,17,0.49,0.31,1,2,0,2,2
5,18,0.2,6.52,1,6,0,3,3
5,19,0.72,3.69,2,2,0,4,2
5,20,0.28,8.64,2,4,1,6,2
5,21,0.02,4.73,0,6,0,5,3
5,22,0.65,9.68,2,4,2,8,2
5,23,0.18,1.86,3,3,1,5,1
6,0,0.94,8.69,0,0,0,0,0
6,1,0.95,7.77,0,0,0,0,0
6,2,0.91,7.71,0,0,0,0,0
6,3,0.37,8.45,2,11,2,16,5
6,4,0.02,7.61,2,5,0,8,3
6,5,0.93,6.26,0,0,0,1,0
6,6,0.43,1.31,2,4,2,9,3
6,7,0.97,0.33,0,0,0,0,0
6,8,0.96,9.21,0,0,0,0,0
6,9,0.85,6.17,4,7,0,12,4
6,10,0.29,7.97,5,6,2,7,3
6,11,0.39,4.82,4,8,0,11,2
6,12,0.85,1.17,2,2,1,3,3
6,13,0.32,1.25,2,4,0,7,2
6,14,0.17,6.86,4,6,2,7,2
6,15,0.56,4.3,3,6,1,4,2
6,16,0.94,2.01,0,0,0,0,0
6,17,0.7,4.92,2,6,1,3,2
6,18,0.57,0.64,2,4,0,2,2
6,19,0.1,5.82,1,4,0,5,2
6,20,0.62,2.69,1,4,1,5,1
6,21,0.99,7.98,0,1,0,0,0
6,22,0.14,3.1,3,6,1,4,3
6,23,0.52,4.55,0,5,1,5,2
0,0,0.88,0.12,0,0,0,0,1
0,1,0.74,0.72,13,25,0,34,11
0,2,0.7,3.92,17,33,8,43,15
0,3,0.7,4.8,19,37,0,48,16
0,4,0.36,6.0,0,40,0,52,18
0,5,0.29,2.92,18,35,9,47,15
0,6,0.81,6.95,22,43,11,55,19
0,7,0.81,8.6,24,46,12,58,21
0,8,0.87,7.8,0,3,1,3,1
0,9,0.91,0.4,0,3,0,4,0
0,10,0.51,4.81,18,35,0,45,16
0,11,0.5,1.05,14,26,7,35,11
0,12,0.8,2.42,0,26,7,34,12
0,13,0.65,9.87,0,39,10,46,19
0,14,0.7,1.42,11,20,5,26,9
0,15,0.8,4.99,0,26,0,31,12
0,16,0.89,6.18,0,2,0,1,0
0,17,0.34,7.02,15,28,7,32,14
0,18,0.38,5.6,13,25,0,29,12
0,19,0.09,0.1,8,14,4,18,7
0,20,0.58,3.26,0,21,5,26,10
0,21,0.04,5.18,14,26,7,31,13
0,22,0.47,0.88,10,19,5,25,9
0,23,0.54,3.51,14,26,0,33,12
1,0,0.29,0.33,12,22,6,30,10
1,1,0.59,0.79,13,25,6,34,11
1,2,0.03,3.97,17,33,8,43,15
1,3,0.04,1.33,16,30,8,41,13
1,4,0.82,5.68,21,40,10,51,18
1,5,0.36,6.89,22,43,11,55,19
1,6,0.13,8.01,24,46,0,58,21
1,7,0.52,2.0,17,33,8,45,14
1,8,0.77,1.67,17,32,8,43,14
1,9,0.22,1.05,0,29,0,40,13
1,10,0.62,6.36,20,38,10,48,17
1,11,0.09,7.06,20,38,0,47,17
1,12,0.05,0.32,12,22,6,30,10
1,13,0.53,9.36,20,38,10,45,18
1,14,0.54,0.52,10,19,5,25,9
1,15,0.64,5.41,14,27,7,32,13
1,16,0.73,7.09,15,29,7,33,14
1,17,0.98,8.71,0,2,0,1,1
1,18,0.52,7.14,15,28,7,32,14
1,19,0.32,8.02,16,30,0,34,15
1,20,0.8,3.39,11,21,5,26,10
1,21,0.27,8.15,17,32,0,37,16
1,22,0.44,0.8,10,19,5,25,9
1,23,0.08,8.95,19,37,9,44,18
2,0,0.03,5.48,0,32,0,40,15
2,1,0.96,8.17,1,5,0,2,0
2,2,0.84,4.52,18,35,9,45,16
2,3,0.7,6.44,21,40,0,51,18
2,4,0.41,5.26,20,39,10,50,17
2,5,0.17,7.32,23,44,11,56,20
2,6,0.16,0.82,16,31,8,43,13
2,7,0.25,0.6,16,30,0,42,13
2,8,0.55,2.47,17,33,8,45,15
2,9,0.71,1.6,0,30,0,41,13
2,10,0.66,8.72,22,43,11,53,20
2,11,0.28,2.19,0,28,7,37,12
2,12,0.95,9.76,1,2,0,7,2
2,13,0.74,3.37,0,26,7,33,12
2,14,0.55,1.82,11,21,5,27,10
2,15,0.61,7.9,17,32,8,37,15
2,16,0.42,6.59,15,28,7,32,13
2,17,0.25,4.98,13,24,6,28,12
2,18,0.36,5.55,13,25,6,29,12
2,19,0.76,7.19,0,28,7,32,14
2,20,0.01,2.28,10,19,5,24,9
2,21,0.12,9.96,0,36,9,41,17
2,22,0.05,9.75,19,37,9,43,18
2,23,0.04,6.5,17,32,0,39,15
3,0,0.86,2.0,1,3,0,4,0
3,1,0.7,6.8,0,37,0,46,17
3,2,0.47,0.72,14,27,0,37,12
3,3,0.1,0.31,15,28,7,39,12
3,4,0.49,2.58,18,34,9,45,15
3,5,0.47,4.63,20,38,10,50,17
3,6,0.17,8.68,24,47,0,59,21
3,7,0.43,7.27,23,44,11,56,20
3,8,0.4,7.43,22,43,0,55,20
3,9,0.62,4.25,0,36,9,46,16
3,10,0.64,3.46,17,32,0,42,14
3,11,0.05,3.71,16,31,0,40,14
3,12,0.37,9.88,21,41,0,49,19
3,13,0.63,0.4,11,20,5,27,9
3,14,0.5,8.67,18,35,0,41,17
3,15,0.86,5.79,1,1,0,3,1
3,16,0.66,4.39,12,23,6,28,11
3,17,0.16,7.25,15,28,7,32,14
3,18,0.07,4.87,12,23,6,27,11
3,19,0.64,8.73,16,31,0,35,15
3,20,0.03,9.01,17,33,8,37,16
3,21,0.59,4.22,0,24,0,29,12
3,22,0.94,2.77,0,1,0,1,0
3,23,0.58,5.92,16,31,8,38,15
4,0,0.39,9.12,21,40,10,48,19
4,1,0.64,2.11,15,28,7,37,12
4,2,0.46,6.23,0,38,10,48,17
4,3,0.55,6.32,21,40,0,51,18
4,4,0.94,7.33,1,2,0,0,1
4,5,0.39,1.32,17,32,0,44,14
4,6,0.96,7.16,0,5,0,2,1
4,7,0.91,9.09,1,0,0,2,0
4,8,0.2,1.8,17,32,8,43,14
4,9,0.07,2.38,17,32,8,43,14
4,10,0.1,9.71,0,45,0,55,21
4,11,0.02,1.81,14,27,0,36,12
4,12,0.09,8.54,20,39,0,47,18
4,13,0.68,4.92,15,29,0,36,14
4,14,0.07,2.47,12,22,6,28,10
4,15,0.32,8.71,0,33,0,38,16
4,16,0.84,4.45,12,23,6,28,11
4,17,0.02,5.15,0,24,6,28,12
4,18,0.81,3.59,11,21,5,25,10
4,19,0.28,5.93,14,26,7,30,13
4,20,0.12,1.64,10,18,0,22,9
4,21,0.7,3.91,13,24,6,29,11
4,22,0.63,9.69,0,37,9,43,18
4,23,0.88,2.58,1,0,0,2,0
5,0,0.74,6.57,0,10,2,11,1
5,1,0.8,3.25,4,4,1,10,3
5,2,0.28,7.73,5,8,0,13,3
5,3,0.18,1.31,4,6,0,7,3
5,4,0.75,9.7,2,9,1,14,3
5,5,0.81,4.54,2,8,2,8,2
5,6,0.99,2.36,0,0,0,0,0
5,7,0.41,0.73,2,5,0,4,3
5,8,0.37,1.7,0,7,2,7,2
5,9,0.78,5.2,5,4,2,8,3
5,10,0.34,3.37,0,7,0,10,1
5,11,0.93,8.29,0,0,0,0,0
5,12,0.86,4.31,0,0,0,0,0
5,13,0.43,2.49,0,6,0,6,1
5,14,0.75,6.17,2,4,1,8,4
5,15,0.75,7.07,4,8,0,8,2
5,16,0.1,1.67,2,5,1,6,2
5,17,0.9,1.68,0,0,0,0,0
5,18,0.51,0.37,2,2,1,4,1
5,19,0.83,7.36,2,7,0,9,3
5,20,0.32,6.64,1,4,0,4,3
5,21,0.9,4.75,0,0,0,0,0
5,22,0.39,8.44,0,9,1,6,2
5,23,0.01,8.06,0,9,1,8,2
6,0,0.91,5.85,0,0,0,0,0
6,1,0.09,8.68,4,5,3,14,4
6,2,0.32,2.06,2,4,2,8,3
6,3,0.95,1.12,0,0,0,0,0
6,4,0.95,2.7,0,0,0,0,0
6,5,0.57,0.57,4,8,1,8,1
6,6,0.63,5.31,2,10,1,8,1
6,7,0.45,9.37,2,10,2,8,6
6,8,0.29,0.39,0,7,1,8,3
6,9,0.33,1.22,0,3,0,6,2
6,10,0.67,4.52,2,6,2,6,2
6,11,0.75,9.34,0,7,1,9,2
6,12,0.79,3.16,2,3,1,4,3
6,13,0.79,5.07,4,5,1,10,3
6,14,0.09,0.42,2,5,0,6,1
6,15,0.49,1.48,1,2,0,5,1
6,16,0.06,9.87,3,5,2,4,4
6,17,0.55,9.65,2,4,0,9,3
6,18,0.44,0.05,1,2,0,4,0
6,19,0.89,9.52,0,0,0,0,0
6,20,0.35,6.39,1,5,0,7,2
6,21,0.12,8.68,4,8,0,10,4
6,22,0.14,4.55,3,3,1,7,3
6,23,0.76,5.16,3,5,1,8,2
0,0,0.62,4.89,0,31,8,39,14
0,1,0.1,6.67,19,37,0,46,17
0,2,0.08,1.4,15,28,0,38,12
0,3,0.7,0.3,0,28,7,39,12
0,4,0.07,3.08,18,35,9,46,15
0,5,0.82,7.05,22,43,11,55,19
0,6,0.71,2.02,18,34,9,46,15
0,7,0.08,6.73,22,43,11,55,19
0,8,0.08,9.7,25,48,12,59,22
0,9,0.99,0.94,0,1,0,2,1
0,10,0.37,6.73,20,39,10,49,18
0,11,0.37,4.44,0,32,0,41,15
0,12,0.81,8.68,20,39,10,47,18
0,13,0.95,1.77,0,2,0,2,0
0,14,0.99,6.93,0,4,0,0,1
0,15,0.75,8.38,17,33,8,38,16
0,16,0.38,9.45,17,33,8,38,16
0,17,0.08,6.83,14,27,7,32,13
0,18,0.78,4.97,0,23,0,27,11
0,19,0.56,6.18,14,26,0,30,13
0,20,0.42,8.69,17,32,0,36,16
0,21,0.91,5.71,0,3,0,3,0
0,22,0.11,0.3,10,18,5,24,8
0,23,0.49,9.31,20,38,10,45,18
1,0,0.01,6.9,18,35,9,43,16
1,1,0.47,6.77,19,37,0,46,17
1,2,0.06,2.16,16,30,8,40,13
1,3,0.12,6.59,21,40,10,51,18
1,4,0.12,3.94,0,36,9,48,16
1,5,0.65,6.51,22,42,11,54,19
1,6,0.75,1.07,17,32,0,44,14
1,7,0.58,6.58,22,42,0,54,19
1,8,0.96,9.99,0,2,1,0,3
1,9,0.37,0.48,15,28,7,39,12
1,10,0.29,9.77,23,45,11,55,21
1,11,0.87,4.07,0,3,0,2,2
1,12,0.22,8.71,20,39,10,47,18
1,13,0.96,7.82,0,0,1,1,0
1,14,0.01,5.67,0,29,7,35,14
1,15,0.97,7.38,1,0,0,2,2
1,16,0.04,8.79,17,32,8,37,16
1,17,0.89,4.04,0,0,0,0,1
1,18,0.53,3.27,0,20,0,24,10
1,19,0.99,6.68,1,1,0,3,1
1,20,0.07,8.08,16,31,8,35,15
1,21,0.55,7.62,16,31,0,36,15
1,22,0.97,7.98,0,2,1,4,0
1,23,0.52,4.36,15,28,7,35,13
2,0,0.63,8.18,20,38,10,46,18
2,1,0.7,1.2,14,26,0,35,11
2,2,0.45,5.44,0,36,9,46,16
2,3,0.63,0.06,0,27,7,38,12
2,4,0.58,3.25,18,35,9,46,15
2,5,0.9,3.66,0,3,0,1,1
2,6,0.05,3.96,19,37,9,49,16
2,7,0.28,6.95,0,43,11,55,19
2,8,0.95,3.89,0,5,1,0,2
2,9,0.89,4.49,1,2,0,1,0
2,10,0.46,2.38,16,30,8,40,13
2,11,0.62,3.73,0,31,8,40,14
2,12,0.28,2.27,14,26,0,34,12
2,13,0.19,0.73,11,21,5,28,9
2,14,0.46,6.03,16,30,8,36,14
2,15,0.35,6.68,15,29,7,34,14
2,16,0.58,6.19,0,27,7,31,13
2,17,0.08,4.63,12,23,6,27,11
2,18,0.97,3.8,1,1,0,3,1
2,19,0.99,8.63,1,0,0,2,0
2,20,0.7,5.19,13,25,6,29,12
2,21,0.54,4.79,0,25,6,31,12
2,22,0.31,0.26,0,18,5,24,8
2,23,0.81,3.41,0,26,7,33,12
3,0,0.68,3.8,15,29,7,37,13
3,1,0.16,3.99,17,32,8,41,14
3,2,0.91,5.8,0,0,0,3,0
3,3,0.82,5.34,20,38,10,49,17
3,4,0.95,6.08,3,3,0,0,1
3,5,0.73,7.65,23,45,11,56,20
3,6,0.61,8.13,24,46,0,58,21
3,7,0.42,7.18,23,44,0,55,20
3,8,0.93,9.56,0,3,0,5,1
3,9,0.87,0.18,0,3,0,5,1
3,10,0.05,1.96,0,29,7,39,13
3,11,0.03,0.08,13,24,6,33,10
3,12,0.38,6.47,18,34,9,42,16
3,13,0.81,8.98,19,37,0,44,18
3,14,0.99,2.43,0,0,0,3,0
3,15,0.15,9.27,18,34,9,40,17
3,16,0.59,0.6,9,16,4,20,8
3,17,0.38,9.34,17,32,8,37,16
3,18,0.97,3.52,0,0,0,2,1
3,19,0.84,1.01,9,16,0,20,8
3,20,0.84,4.86,13,24,6,29,12
3,21,0.47,2.57,11,21,5,26,10
3,22,0.41,2.85,12,23,6,29,11
3,23,0.27,3.07,14,26,0,33,12
4,0,0.06,8.03,0,38,10,46,18
4,1,0.86,5.39,0,2,0,0,0
4,2,0.81,3.11,17,32,8,42,14
4,3,1.0,6.1,0,1,1,0,0
4,4,1.0,7.16,3,0,0,0,0
4,5,0.56,2.73,0,35,0,47,15
4,6,0.77,4.14,20,38,10,50,17
4,7,0.94,1.22,0,3,0,1,1
4,8,0.85,1.81,17,32,8,44,14
4,9,0.25,6.81,21,41,10,52,18
4,10,0.45,1.81,15,29,0,39,13
4,11,0.13,5.25,18,34,0,43,16
4,12,0.95,7.09,0,0,1,0,2
4,13,0.61,1.07,0,22,6,29,10
4,14,0.23,5.67,15,29,7,35,14
4,15,0.67,2.57,0,21,0,26,10
4,16,0.62,9.63,0,34,9,38,17
4,17,0.36,4.84,12,23,6,28,11
4,18,0.11,8.06,16,30,0,34,15
4,19,0.67,5.5,13,25,6,29,12
4,20,0.52,0.43,8,15,4,20,7
4,21,0.77,6.33,0,29,7,34,14
4,22,0.52,9.51,19,37,9,43,18
4,23,0.85,6.02,0,31,8,38,15
5,0,0.55,8.19,5,8,2,7,4
5,1,0.56,8.84,5,6,1,8,5
5,2,0.88,2.28,0,0,0,1,0
5,3,0.4,2.12,0,8,2,11,2
5,4,0.13,6.11,4,7,1,12,3
5,5,0.03,4.11,2,9,0,6,1
5,6,0.76,8.4,6,5,3,14,5
5,7,0.62,9.0,7,12,2,9,4
5,8,0.7,3.53,5,5,1,10,4
5,9,0.21,2.37,2,7,1,7,2
5,10,0.14,7.81,0,8,0,15,2
5,11,0.01,2.75,3,8,0,5,3
5,12,0.35,8.23,2,6,2,7,2
5,13,0.59,4.24,3,3,1,10,3
5,14,0.39,6.68,0,3,1,3,3
5,15,0.44,0.96,1,4,1,5,1
5,16,0.9,6.24,0,0,0,0,0
5,17,0.35,4.52,2,3,0,8,1
5,18,0.51,5.87,0,4,1,8,2
5,19,0.78,1.68,0,1,0,2,1
5,20,0.4,7.37,3,8,0,9,3
5,21,0.62,8.63,2,7,2,8,4
5,22,0.86,2.17,0,0,0,0,0
5,23,0.95,0.96,0,0,0,0,0
6,0,0.15,0.24,2,3,1,8,1
6,1,0.93,6.42,0,1,0,0,0
6,2,0.49,6.07,3,10,0,8,2
6,3,0.26,5.47,3,9,0,13,3
6,4,0.46,2.32,3,5,0,10,4
6,5,0.98,3.91,0,0,0,0,0
6,6,0.49,5.94,2,4,0,9,2
6,7,0.33,4.97,0,9,2,9,2
6,8,0.63,9.88,0,11,0,17,6
6,9,0.24,1.36,4,6,1,9,1
6,10,0.08,6.95,6,11,1,8,4
6,11,0.13,4.04,3,5,0,8,1
6,12,0.13,4.28,3,5,0,4,3
6,13,0.15,7.18,2,3,0,12,2
6,14,0.14,6.92,4,6,0,6,3
6,15,0.64,9.91,5,5,1,8,2
6,16,0.18,1.28,2,2,0,3,1
6,17,0.35,1.04,0,4,1,4,1
6,18,0.9,7.24,0,0,0,0,0
6,19,0.47,5.78,0,4,1,4,1
6,20,0.67,2.74,0,5,1,4,2
6,21,0.17,0.79,2,2,1,2,1
6,22,0.19,0.86,1,2,0,5,1
6,23,0.04,8.94,5,5,2,4,3
0,0,0.17,1.92,13,25,0,33,11
0,1,0.28,3.23,16,30,8,39,14
0,2,0.18,2.27,16,30,8,40,13
0,3,0.09,3.55,0,34,0,45,15
0,4,0.12,0.69,16,30,8,41,13
0,5,0.46,5.19,21,40,0,51,18
0,6,0.21,0.68,16,31,8,43,13
0,7,0.36,8.0,23,45,11,57,20
0,8,0.5,2.34,0,33,8,45,14
0,9,0.69,5.4,0,38,0,49,17
0,10,0.04,8.8,22,43,11,53,20
0,11,0.8,6.51,0,37,0,46,17
0,12,0.63,5.33,17,32,0,40,15
0,13,0.08,3.24,14,26,0,33,12
0,14,0.87,3.33,0,2,0,2,0
0,15,0.92,6.69,0,0,0,4,1
0,16,0.06,9.94,18,34,9,39,17
0,17,0.28,6.62,0,27,7,31,13
0,18,0.81,5.58,0,25,6,29,12
0,19,0.75,7.31,15,28,7,33,14
0,20,0.18,4.65,13,24,6,28,12
0,21,0.21,0.6,0,17,0,22,8
0,22,0.37,5.62,15,29,7,35,14
0,23,0.48,9.58,20,39,0,46,18
1,0,0.62,1.75,13,25,6,33,11
1,1,0.37,6.9,19,37,9,46,17
1,2,0.46,2.01,16,30,8,40,13
1,3,0.75,5.36,20,38,0,49,17
1,4,0.04,0.97,16,30,8,42,13
